key,value,note
speaker,かな＆MEMちょ,加奈＆MEM啾
speaker,かな＆あかね,加奈＆茜
speaker,かな＆あさひ,加奈＆朝日
speaker,かな＆凛世,加奈＆凛世
speaker,かな＆夏葉,加奈＆夏叶
speaker,かな＆智代子＆凛世,加奈＆智代子＆凛世
speaker,くじの屋台の店主,抽签摊位的摊主
speaker,さおり,沙织
speaker,さおり＆めぐみ,沙织＆惠美
speaker,さる,猴子
speaker,すい姫,水姬
speaker,その場の一同,当场的所有人
speaker,そば屋の大将,荞麦面馆老板
speaker,つけっぱなしのテレビ,一直开着的电视
speaker,とあるエンジニア,某个工程师
speaker,とあるスタッフ,某个工作人员
speaker,とあるステージスタッフ,某个舞台工作人员
speaker,とあるボイストレーナー,某个发声训练师
speaker,とある業界関係者,某个业界相关人员
speaker,とある芸能事務所社員,某个演艺事务所员工
speaker,とある録音技師,某个录音技师
speaker,とある音楽ディレクター,某个音乐导演
speaker,ななみ,奈浪美
speaker,ななみ？,奈浪美？
speaker,にちか,日花
speaker,にちかと一同,日花＆众人
speaker,にちかのポップ,日花画的展板
speaker,にちかのメモ,日花的笔记
speaker,にちかの先輩,日花的前辈
speaker,にちかの母親,日花的母亲
speaker,にちかの父親,日花的父亲
speaker,にちか＆お笑い,日花＆搞笑艺人
speaker,にちか＆はづき,日花＆叶月
speaker,にちか＆スタッフら,日花＆工作人员们
speaker,にちか＆プロデューサー,日花＆制作人
speaker,にちか＆メイクスタッフ,日花＆化妆师们
speaker,にちか＆モデルたち,日花＆模特们
speaker,にちか＆ルカ,日花＆路加
speaker,にちか＆一同,日花＆众人
speaker,にちか＆中年女性,日花＆中年女性
speaker,にちか＆先輩,日花＆前辈
speaker,にちか＆出演者ら,日花＆出演者们
speaker,にちか＆子ども,日花＆孩子
speaker,にちか＆撮影スタッフ,日花＆摄影工作人员
speaker,にちか＆美琴,日花＆美琴
speaker,にちか＆美琴＆ルカ,日花＆美琴＆路加
speaker,にちか＆若手女優たち,日花＆年轻女演员们
speaker,のぼり旗,旗帜
speaker,のぼり旗１,旗帜1
speaker,のぼり旗２,旗帜2
speaker,はづき,叶月
speaker,はづきからの連絡,从叶月来的联络
speaker,はづきの同僚店員,叶月的同事店员
speaker,はづき＆プロデューサー,叶月＆制作人
speaker,はづき＆Ｐ,叶月＆P
speaker,はるき,阳希
speaker,はるき＆スタッフ,阳希＆工作人员
speaker,はるき＆プロデューサー,阳希＆制作人
speaker,はるき＆女性タレント,阳希＆女艺人
speaker,ひったくり,抢匪
speaker,ふたり,两人
speaker,ぶたの助,猪之助
speaker,ほくほくのスタッフ,喜笑颜开的工作人员
speaker,まな,麻奈
speaker,めい,“爱依”
speaker,めぐみ,惠美
speaker,めぐる,巡
speaker,めぐる＆灯織,巡＆灯织
speaker,めぐるのアカウント,巡的账号
speaker,めぐるのファン,巡的粉丝
speaker,めぐるの友達,巡的朋友
speaker,めぐるの友達A,巡的朋友A
speaker,めぐるの友達B,巡的朋友B
speaker,めぐるの友達たち,巡的朋友们
speaker,めぐるの母,巡的母亲
speaker,めぐるの知人,巡的熟人
speaker,めぐる＆スタッフ１,巡＆工作人员1
speaker,めぐる＆プロデューサー,巡＆制作人
speaker,めぐる＆ルポライター,巡＆纪实作家
speaker,めぐる＆主人公,巡＆主人公
speaker,めぐる＆円香,巡＆圆香 
speaker,めぐる＆円香＆雛菜,巡＆圆香＆雏菜
speaker,めぐる＆咲耶＆冬優子,巡＆咲耶＆冬优子
speaker,めぐる＆咲耶＆樹里,巡＆咲耶＆树里
speaker,めぐる＆小学生女子B,巡＆小学生女子B
speaker,めぐる＆恋鐘＆咲耶,巡＆恋钟＆咲耶
speaker,めぐる＆摩美々,巡＆摩美美
speaker,めぐる＆明るい同級生,巡＆开朗的同学
speaker,めぐる＆智代子,巡＆智代子
speaker,めぐる＆樹里,巡＆树里
speaker,めぐる＆樹里＆あさひ,巡＆树里＆朝日
speaker,めぐる＆樹里＆冬優子,巡＆树里＆冬优子
speaker,めぐる＆現地の女子３,巡＆当地的女子3
speaker,めぐる＆甘奈,巡＆甘奈
speaker,めぐる＆甘奈＆千雪,巡＆甘奈＆千雪
speaker,めぐる＋甜花＋千雪,巡＋甜花＋千雪
speaker,めぐる＋赤ちゃん,巡＋婴儿
speaker,めぐる＋雛菜,巡＋雏菜
speaker,ものまね,模仿
speaker,アイ,爱
speaker,アイドル,偶像
speaker,アイドルA,偶像A
speaker,アイドルB,偶像B
speaker,アイドルたち,偶像们
speaker,アイドルたちの声,偶像们的声音
speaker,アイドルのツイスタ,偶像的Twesta
speaker,アイドルのマネージャー,偶像的经纪人
speaker,アイドルの動画,偶像的视频
speaker,アイドルの声,偶像的声音
speaker,アイドルの投稿,偶像的投稿
speaker,アイドルグループ,偶像团体
speaker,アイドルファン,偶像粉丝
speaker,アイドルファン１,偶像粉丝1
speaker,アイドルファン２,偶像粉丝2
speaker,アイドル１,偶像1
speaker,アイドル１のSNS,偶像1的社交账号
speaker,アイドル２,偶像2
speaker,アイドル２のSNS,偶像2的社交账号
speaker,アイドル３,偶像3
speaker,アイドル３のSNS,偶像3的社交账号
speaker,アイドル４,偶像4
speaker,アイドル４のSNS,偶像4的社交账号
speaker,アイドル５,偶像5
speaker,アイドル６,偶像6
speaker,アイドル７,偶像7
speaker,アイドルＡ,偶像A
speaker,アイドルＢ,偶像B
speaker,アオ,小青
speaker,アオ役の女優,饰演小青的女演员
speaker,アカウント２,账号2
speaker,アカウント３,账号3
speaker,アカウント４,账号4
speaker,アカウント５,账号5
speaker,アカウント６,账号6
speaker,アカウント７,账号7
speaker,アクション俳優,动作演员
speaker,アシスタント,助手
speaker,アップル,苹果
speaker,アトラクションの係員,游乐设施工作人员
speaker,アドトラックの広告,广告卡车广告
speaker,アドトレーラーの文字,广告拖车上的文字
speaker,アナウンサー,播音员
speaker,アナウンス,广播
speaker,アニメファン１,动漫粉丝1
speaker,アニメファン２,动漫粉丝2
speaker,アルストロメリア,ALSTROEMERIA
speaker,アルバイト先の社員,打工处的员工
speaker,アンケート,问卷调查
speaker,アンティーカ,L'Antica
speaker,アンニン,杏仁
speaker,アーチ看板,拱形招牌
speaker,アーティスト,艺术家
speaker,アートスクール講師,艺术学校讲师
speaker,アートディレクター,艺术总监
speaker,イケメン俳優,帅哥演员
speaker,イベントMC,活动主持人
speaker,イベントの司会,活动主持
speaker,イベントスタッフ,活动工作人员
speaker,イベントスタッフ１,活动工作人员1
speaker,イベントスタッフ２,活动工作人员2
speaker,イベントディレクター,活动导演
speaker,イベントプロデューサー,活动制作人
speaker,イベントプロモーター,活动促销员
speaker,イベント主催スタッフ,活动主办工作人员
speaker,イベント主催者,活动主办者
speaker,イベント司会,活动主持
speaker,イベント司会者,活动主持人
speaker,イベント関係者,活动相关人员
speaker,イヤホンから聞こえる声,从耳机传来的声音
speaker,イルミネ,イルミネ
speaker,イルミネの特集記事,イルミネ的专题文章
speaker,インストラクター,讲师
speaker,インタビュアー,采访者
speaker,インタビュー,采访
speaker,インタビュー記事,采访文章
speaker,インターネットの記事,互联网文章
speaker,インフォメーション,信息
speaker,インフルエンサー,网红
speaker,ウェイター,服务员
speaker,ウェブの記事,网络文章
speaker,エミリア,艾米莉亚
speaker,エリザベス,伊丽莎白
speaker,エレベーター内の一同,电梯内的众人
speaker,エンジニア,工程师
speaker,エージェント?Ｓ,特工S
speaker,オウム,鹦鹉
speaker,オニ,鬼
speaker,オペレーター,操作员
speaker,オリーブ,橄榄
speaker,オーディオプレイヤー,音频播放器
speaker,オーディション審査員,选秀评委
speaker,オーディション担当,选秀负责人
speaker,オーナー,庄主
speaker,カウンタースタッフ,柜台工作人员
speaker,カニキング,蟹王
speaker,カニ？,螃蟹？
speaker,カフェの店員,咖啡店店员
speaker,カフェ店員,咖啡店店员
speaker,カホ,“果穗”
speaker,カホ＆ジュリ,“果穗”＆“树里”
speaker,カホ＆ジュリ＆ナツハ,“果穗”＆“树里”＆“夏叶”
speaker,カホ＆チヨコ,“果穗”＆“智代子”
speaker,カホ＆チヨコ＆ジュリ,“果穗”＆“智代子”＆“树里”
speaker,カホ＆ナツハ,“果穗”＆“夏叶”
speaker,カホ＋リンゼ＋ナツハ,“果穗”＆“凛世”＆“夏叶”
speaker,カメラを持った男,拿着相机的男人
speaker,カメラマン,摄影师
speaker,カメラマンの声,摄影师的声音
speaker,カメラマン（現在）,摄影师（现在）
speaker,カメラマン１,摄影师1
speaker,カメラマン２,摄影师2
speaker,カメリア,山茶花
speaker,カメリア役のふたり,饰演山茶花的两人
speaker,カラオケ店スタッフ,卡拉OK店工作人员
speaker,カンペ,翻页提示板
speaker,カードの文面,卡片文字内容
speaker,カーナビの音声,车载导航语音
speaker,ガソリンスタンド店員,加油站店员
speaker,ガーベラ,非洲菊
speaker,キッズ,孩子们
speaker,キッズインタビュー,儿童采访
speaker,キティ,凯蒂
speaker,キャスター,播报员
speaker,キャスト,演员
speaker,キャロル隊,圣歌队
speaker,キリコ,“雾子”
speaker,ギグ企画スタッフ,演出策划工作人员
speaker,ギタリスト,吉他手
speaker,ギタリスト兼作曲担当,兼任作曲的吉他手
speaker,ギャル風の女性１,辣妹风格的女性1
speaker,ギャル風の女性２,辣妹风格的女性2
speaker,クマ,熊
speaker,クライアント,客户
speaker,クラスメイト,同班同学
speaker,クラスメイトA,同班同学A
speaker,クラスメイトB,同班同学B
speaker,クラスメイトたち,同班同学们
speaker,クラスメイト１,同班同学1
speaker,クラスメイト１の彼氏,同班同学1的男朋友
speaker,クラスメイト２,同班同学2
speaker,クラスメイト３,同班同学3
speaker,クラスメイト４,同班同学4
speaker,クラスメイト５,同班同学5
speaker,クラスメイト６,同班同学6
speaker,クラスメイト７,同班同学7
speaker,クラスメイト８,同班同学8
speaker,クラスメートたち,同班同学们
speaker,クラス委員,班级委员
speaker,クラブイベントの客１,俱乐部活动的客人1
speaker,クラブイベントの客２,俱乐部活动的客人2
speaker,クラブイベントの客３,俱乐部活动的客人3
speaker,クラブイベントの客４,俱乐部活动的客人4
speaker,クラブイベントの客５,俱乐部活动的客人5
speaker,クリニック講師,诊所讲师
speaker,クリーニング店受付,干洗店接待员
speaker,クリーニング店員,干洗店店员
speaker,クリーニング店員１,干洗店店员1
speaker,クリーニング店員２,干洗店店员2
speaker,クリーニング店店長,干洗店店长
speaker,クルー,船员
speaker,クールなアイドル,高冷的偶像
speaker,グラウンドの選手,操场上的选手
speaker,グルメ番組の音声,美食节目语音
speaker,グループ長,组长
speaker,ケチ兵衛,吝兵卫
speaker,ゲスト,嘉宾
speaker,ゲストの女優,嘉宾女演员
speaker,ゲストの女医,嘉宾女医生
speaker,ゲストの料理家,嘉宾厨师
speaker,ゲームの関係者,游戏相关人员
speaker,ゲーム仲間たち,游戏伙伴们
speaker,ゲーム内アナウンス,游戏内广播
speaker,ゲーム画面,游戏画面
speaker,ゲーム音声,游戏语音
speaker,コガネ,“恋钟”
speaker,コガネ＆マミミ,“恋钟”＆“摩美美”
speaker,コスメブランドスタッフ,化妆品品牌工作人员
speaker,コメンテーター,评论员
speaker,コメント,评论
speaker,コメント１,评论1
speaker,コメント２,评论2
speaker,コンテの先生,讲台的老师
speaker,コンビニの店員,便利店店员
speaker,コンビニ店員,便利店店员
speaker,コーチ,教练
speaker,サクヤ,“咲耶”
speaker,サクヤ＆ユイカ,“”咲耶＆“结华”
speaker,サッカー部の女子,足球部的女生
speaker,サラリーマンふうの客,上班族风格的客人
speaker,サンタの店員,圣诞老人装扮的店员
speaker,サークルの友人,社团的朋友
speaker,シャーロット,夏洛特
speaker,ショップスタッフ,商店工作人员
speaker,ショップスタッフ１,商店工作人员1
speaker,ショップスタッフ２,商店工作人员2
speaker,ショップスタッフ３,商店工作人员3
speaker,ショップスタッフ４,商店工作人员4
speaker,ショップスタッフ５,商店工作人员5
speaker,ショップ店員,商店店员
speaker,ショップ店員１,商店店员1
speaker,ショップ店員２,商店店员2
speaker,シロ,小白
speaker,シーズ,SHHis
speaker,ジェーン,简
speaker,ジャスティスパープル,正义紫
speaker,ジャスティスレッド,正义红
speaker,ジュリ,“树里”
speaker,ジュリ＆ナツハ,“树里”＆“夏叶”
speaker,スカウトの男,星探的男人
speaker,スカウトの男性,星探的男性
speaker,スカウトマン,星探
speaker,スカッシュ,鲜榨
speaker,スクラップブック表紙,剪贴簿封面
speaker,スタイリスト,造型师
speaker,スタイリストら,造型师们
speaker,スタイリスト＆スタッフ,造型师＆工作人员
speaker,スタジオスタッフ,演播室工作人员
speaker,スタジオ関係者,演播室相关人员
speaker,スタッフ,工作人员
speaker,スタッフA,工作人员A
speaker,スタッフA＆B,工作人员A＆B
speaker,スタッフB,工作人员B
speaker,スタッフC,工作人员C
speaker,スタッフたち,工作人员们
speaker,スタッフと話す声,与工作人员交谈的声音
speaker,スタッフの声,工作人员的声音
speaker,スタッフの無線,工作人员的对讲机
speaker,スタッフ一同,全体工作人员
speaker,スタッフ１,工作人员1
speaker,スタッフ２,工作人员2
speaker,スタッフ３,工作人员3
speaker,スタッフ４,工作人员4
speaker,スタッフ５,工作人员5
speaker,スタッフ６,工作人员6
speaker,スタッフ７,工作人员7
speaker,スタッフＡ,工作人员A
speaker,スタッフＢ,工作人员B
speaker,スターター,发令员
speaker,ステージスタッフ,舞台工作人员
speaker,ステージスタッフ１,舞台工作人员1
speaker,ステージスタッフ２,舞台工作人员2
speaker,ステージスタッフ３,舞台工作人员3
speaker,ステージスタッフ４,舞台工作人员4
speaker,ステージ主催者,舞台主办方
speaker,ストバスの先輩,街头篮球的前辈
speaker,ストバスの少年,街头篮球的少年
speaker,ストレイライト,Straylight
speaker,スナックのママ,小酒馆的老板娘
speaker,スポンサー,赞助商
speaker,スポンサー企業,赞助企业
speaker,スポンサー企業広報,赞助企业宣传
speaker,スポンサー担当者,赞助商负责人
speaker,スポーツ紙,体育报纸
speaker,スポーツ紙記事,体育报纸文章
speaker,スマホからの音声,从手机传来的声音
speaker,スマホの画面表示,手机的屏幕显示
speaker,スマホの通知,手机的通知
speaker,スマレの通知欄,手机的通知栏
speaker,スマホの音声,手机的语音
speaker,スマホを構えた男性,端着手机的男性
speaker,スマホニュース,手机新闻
speaker,スマホ画面,手机屏幕
speaker,スローガン,标语
speaker,スーパーの同僚,超市的同事
speaker,スーパーの店員,超市的店员
speaker,スーパー店員,超市店员
speaker,センターアイドル,C位偶像
speaker,ソフィア,索菲亚
speaker,ソラファド,索拉法多
speaker,ソラファドのファン１,索拉法多的粉丝1
speaker,ソラファドのファン２,索拉法多的粉丝2
speaker,ソラファドのファン３,索拉法多的粉丝3
speaker,ソーダ,苏打
speaker,タクシーの運転手,出租车司机
speaker,タクシーアプリ,出租车应用
speaker,タクシードライバー,出租车司机
speaker,タクシー運転手,出租车司机
speaker,タレント,艺人
speaker,タレントたち,艺人们
speaker,タレント１,艺人1
speaker,タレント２,艺人2
speaker,ターゲット,目标
speaker,ダリア,达莉亚
speaker,ダリア役のふたり,饰演达莉亚的两人
speaker,ダンサー,舞者
speaker,ダンサーたち,舞者们
speaker,ダンサー仲間１,舞者伙伴1
speaker,ダンサー仲間２,舞者伙伴2
speaker,ダンサー仲間３,舞者伙伴3
speaker,ダンサー側スタッフ,舞者方的工作人员
speaker,ダンサー１,舞者1
speaker,ダンサー２,舞者2
speaker,ダンサー３,舞者3
speaker,ダンサー４,舞者4
speaker,ダンストレーナー,舞蹈教练
speaker,ダンス講師,舞蹈讲师
speaker,ダンス講師からのメッセ,从舞蹈讲师来的消息
speaker,チェイン,CHAIN
speaker,チェインのメッセージ,CHAIN的消息
speaker,チェインの文面,CHAIN的文字内容
speaker,チェインの表示,CHAIN的显示
speaker,チョコレート,巧克力
speaker,チヨコ,“智代子”
speaker,チヨコ＆ジュリ,“智代子”＆“树里”
speaker,チームうさちよかめ,Team うさちよかめ
speaker,チームまりあ,Team MARIA
speaker,チームピーちゃん,Team 噼酱
speaker,チームヘルメス,Team 赫尔墨斯
speaker,チーム一番星,Team 第一星
speaker,チーム青春ジャージ,Team 青春运动服
speaker,ツイスタ,Twesta
speaker,ツイスタのコメント,Twesta的评论
speaker,ツイスタのコメント１,Twesta的评论1
speaker,ツイスタのコメント２,Twesta的评论2
speaker,ツイスタのコメント３,Twesta的评论3
speaker,ツイスタのコメント４,Twesta的评论4
speaker,ツイスタのコメント５,Twesta的评论5
speaker,ツイスタの投稿,Twesta的投稿
speaker,ツイスタコメント,Twesta评论
speaker,ツイスタ投稿１,Twesta投稿1
speaker,ツイスタ投稿２,Twesta投稿2
speaker,ツイスタ投稿３,Twesta投稿3
speaker,ツバサ,翼
speaker,テキパキしたアイドル,干脆利落的偶像
speaker,テレビ,电视
speaker,テレビCM,电视商业广告
speaker,テレビからの声,从电视传来的声音
speaker,テレビから聞こえる声,从电视能听到的声音
speaker,テレビに映るアイ,在电视上出现的爱
speaker,テレビのニュース,电视新闻
speaker,テレビのミュージシャン,电视上的音乐家
speaker,テレビのレポーター,电视记者
speaker,テレビの声,电视的声音
speaker,テレビの声１,电视的声音1
speaker,テレビの声２,电视的声音2
speaker,テレビの字幕,电视字幕
speaker,テレビの画面,电视画面
speaker,テレビの音,电视的声音
speaker,テレビの音声,电视的语音
speaker,テレビアニメ,TV动画
speaker,テレビスタッフ,电视工作人员
speaker,テレビマン,电视人
speaker,テレビ局スタッフ,电视台工作人员
speaker,テレビ局員,电视台职员
speaker,テレビ局部長,电视台部门长
speaker,テレビ番組,电视节目
speaker,テレビ番組の司会者,电视节目的主持人
speaker,テレビ番組の有名人,电视节目的名人
speaker,テレビ番組の音声,电视节目的语音
speaker,テロップ,滚动字幕
speaker,テーマパーク社員,主题公园员工
speaker,ディレクター,导演
speaker,ディレクターふうの男性,有导演风格的男性
speaker,ディレクター１,导演1
speaker,ディレクター２,导演2
speaker,デザイナー,设计师
speaker,デスクに置かれたメモ,放在桌上的便签
speaker,デビ太郎,恶魔太郎
speaker,デビ太郎好きの女の子,喜欢恶魔太郎的女孩子
speaker,デビ太郎好きの学生,喜欢恶魔太郎的学生
speaker,デビ太郎好きの少年,喜欢恶魔太郎的少年
speaker,トレーナー,训练师
speaker,ト書き,剧本注释
speaker,ドアの向こうの声,门那边的声音
speaker,ドアの外,门的外面
speaker,ドアの外からの声,从门外传来的声音
speaker,ドア越しのマネージャー,隔着门的经纪人
speaker,ドライなクラスメイト,冷淡的同班同学
speaker,ドライバー,司机
speaker,ドラッグストア店員,药店店员
speaker,ドラマのCM,电视剧广告
speaker,ドラマのスタッフ,电视剧的工作人员
speaker,ドラマのディレクター,电视剧的导演
speaker,ドラマの声,电视剧的声音
speaker,ドラマの監督,电视剧的导演
speaker,ドラマプロデューサー,电视剧制作人
speaker,ドラマ公式アカウント,电视剧官方账号
speaker,ナツハ,“夏叶”
speaker,ナレーション,旁白
speaker,ニュースの音声,新闻的语音
speaker,ニュースを読む声,读新闻的声音
speaker,ニュース番組リポーター,新闻节目记者
speaker,ニュース記事,新闻文章
speaker,ニュース記事見出し１,新闻文章标题1
speaker,ニュース記事見出し２,新闻文章标题2
speaker,ネットの記事,网络文章
speaker,ネットニュース,网络新闻
speaker,ネットニュースの記事,网络新闻的文章
speaker,ノクチル,noctchill
speaker,ノートの付箋,笔记便签
speaker,ノートの表紙,笔记本的封面
speaker,ハガキの文面,明信片的文字内容
speaker,ハリネズミくん,刺猬君
speaker,バイト仲間,打工伙伴
speaker,バイト先の先輩,打工处的前辈
speaker,バスのアナウンス,公交车的广播
speaker,バスの運転手,公交车司机
speaker,バスケ部の先輩,篮球部的前辈
speaker,バスケ部の女子,篮球部的女生
speaker,バスケ部員,篮球部成员
speaker,バラエティ司会,综艺节目的主持人
speaker,バラエティ司会者,综艺节目的主持人
speaker,バラエティ番組,综艺节目
speaker,バラエティ番組の音声,综艺节目的语音
speaker,バラエティ番組司会,综艺节目主持
speaker,バンドマン１,乐队成员1
speaker,バンドマン２,乐队成员2
speaker,バーテンダー,调酒师
speaker,パインくんれんせい,菠萝训练生
speaker,パソコンの画面,电脑的屏幕
speaker,パパ,爸爸
speaker,パンダカーの音声,熊猫车的语音
speaker,パン屋の店員,面包店店员
