eventId,key,value,trans
200101011,eventTitle,ほころびる,绽放
200101101,cardName,【ソラを跳ね】櫻木真乃,【跃向天空】樱木真乃
200101101,eventTitle,ささやかな,微小的
200101102,cardName,【ソラを跳ね】櫻木真乃,【跃向天空】樱木真乃
200101102,eventTitle,あめのひ,雨天
200101103,cardName,【ソラを跳ね】櫻木真乃,【跃向天空】樱木真乃
200101103,eventTitle,そらをおよぐ鳥,在天空游泳的鸟
200101104,cardName,【ソラを跳ね】櫻木真乃,【跃向天空】樱木真乃
200101104,eventTitle,ゆっくりでいい。そうきみにも,慢慢来就好。对你也是
200101111,cardName,【ソラを跳ね】櫻木真乃,【跃向天空】樱木真乃
200101111,eventTitle,たとえ何光年離れていたとしても,即使相隔多少光年
200101201,cardName,【一番星の魔法】櫻木真乃,【第一颗星的魔法】樱木真乃
200101201,eventTitle,星降るよるに,在流星之夜
200101211,cardName,【一番星の魔法】櫻木真乃,【第一颗星的魔法】樱木真乃
200101211,eventTitle,きをつけて,请小心
200101301,cardName,【花風Smiley】櫻木真乃,【花风Smiley】樱木真乃
200101301,eventTitle,はずむ、こころ,雀跃的、心
200101302,cardName,【花風Smiley】櫻木真乃,【花风Smiley】樱木真乃
200101302,eventTitle,カメラレッスン,相机课程
200101303,cardName,【花風Smiley】櫻木真乃,【花风Smiley】樱木真乃
200101303,eventTitle,やわらかくつつんで、春,温柔包裹、春天
200101304,cardName,【花風Smiley】櫻木真乃,【花风Smiley】樱木真乃
200101304,eventTitle,想い、その手にのせて,将思念、置于那手中
200101311,cardName,【花風Smiley】櫻木真乃,【花风Smiley】樱木真乃
200101311,eventTitle,散りつもるように、幸福,如飘落堆积般、幸福
200101401,cardName,【ひとつ、はたたく】櫻木真乃,【一次、眨眼】樱木真乃
200101401,eventTitle,新しい空をゆくために,为了飞向新的天空
200101402,cardName,【ひとつ、はたたく】櫻木真乃,【一次、眨眼】樱木真乃
200101402,eventTitle,はらはら、雪が重なるように,飘落散下、如雪堆积般
200101403,cardName,【ひとつ、はたたく】櫻木真乃,【一次、眨眼】樱木真乃
200101403,eventTitle,雪割草のあたま,雪割草的脑袋
200101404,cardName,【ひとつ、はたたく】櫻木真乃,【一次、眨眼】樱木真乃
200101404,eventTitle,勇気をくださいました,给了我勇气
200101411,cardName,【ひとつ、はたたく】櫻木真乃,【一次、眨眼】樱木真乃
200101411,eventTitle,２ステップめ,第2步
200101501,cardName,【ピックアップ・スプリング】櫻木真乃,【Pickup Spring】樱木真乃
200101501,eventTitle,散らばる春のかけら,散落的春天碎片
200101502,cardName,【ピックアップ・スプリング】櫻木真乃,【Pickup Spring】樱木真乃
200101502,eventTitle,まなざし,目光
200101511,cardName,【ピックアップ・スプリング】櫻木真乃,【Pickup Spring】樱木真乃
200101511,eventTitle,バケツいっぱいの幸せから,从满桶的幸福中
200101601,cardName,【interStellar-Stella】櫻木真乃,【InterStellar-Stella】樱木真乃
200101601,eventTitle,金糸雀をなぞる,描绘金丝雀
200101602,cardName,【interStellar-Stella】櫻木真乃,【InterStellar-Stella】樱木真乃
200101602,eventTitle,星影は青藍も知る,星影连青蓝亦知晓
200101603,cardName,【interStellar-Stella】櫻木真乃,【InterStellar-Stella】樱木真乃
200101603,eventTitle,桜がほころびますように,愿樱花绽放
200101604,cardName,【interStellar-Stella】櫻木真乃,【InterStellar-Stella】樱木真乃
200101604,eventTitle,きみは綺羅星,你是璀璨星辰
200101611,cardName,【interStellar-Stella】櫻木真乃,【InterStellar-Stella】樱木真乃
200101611,eventTitle,瞬き綴じて６頁,眨眼缀成6页
200101701,cardName,【きみと巡り行く】櫻木真乃,【与你同行】樱木真乃
200101701,eventTitle,click,点击
200101702,cardName,【きみと巡り行く】櫻木真乃,【与你同行】樱木真乃
200101702,eventTitle,いつものさがし,寻常的寻找
200101703,cardName,【きみと巡り行く】櫻木真乃,【与你同行】樱木真乃
200101703,eventTitle,返,回信
200101704,cardName,【きみと巡り行く】櫻木真乃,【与你同行】樱木真乃
200101704,eventTitle,はじめて、まねっこ,第一次、模仿
200101711,cardName,【きみと巡り行く】櫻木真乃,【与你同行】樱木真乃
200101711,eventTitle,とくん・向こう側,心跳·另一侧
200101801,cardName,【私のハルモニア】櫻木真乃,【我的Harmonia】樱木真乃
200101801,eventTitle,もうひとりの私,另一个我
200101802,cardName,【私のハルモニア】櫻木真乃,【我的Harmonia】樱木真乃
200101802,eventTitle,輝きのなかを……,在光辉之中……
200101811,cardName,【私のハルモニア】櫻木真乃,【我的Harmonia】樱木真乃
200101811,eventTitle,空と２８３のハーモニー,天空与283的和谐
200101901,cardName,【あなたと、いただきます】櫻木真乃,【与你一起、开动了】樱木真乃
200101901,eventTitle,あなたとランチを,与你共进午餐
200101902,cardName,【あなたと、いただきます】櫻木真乃,【与你一起、开动了】樱木真乃
200101902,eventTitle,やさしい余白,温柔的留白
200101903,cardName,【あなたと、いただきます】櫻木真乃,【与你一起、开动了】樱木真乃
200101903,eventTitle,香る、ほころぶ,芬芳、绽放
200101904,cardName,【あなたと、いただきます】櫻木真乃,【与你一起、开动了】樱木真乃
200101904,eventTitle,そしてつながる,然后相连
200101911,cardName,【あなたと、いただきます】櫻木真乃,【与你一起、开动了】樱木真乃
200101911,eventTitle,おいしい架け橋,美味的桥梁
200102001,cardName,【はるかなる】櫻木真乃,待翻译
200102001,eventTitle,こうして生まれる,待翻译
200102002,cardName,【はるかなる】櫻木真乃,待翻译
200102002,eventTitle,私の２８３,待翻译
200102011,cardName,【はるかなる】櫻木真乃,待翻译
200102011,eventTitle,心、はためく,待翻译
200200301,cardName,【手作りの心遣い】風野灯織,【手制的心意】风野灯织
200200301,eventTitle,徹底した姿勢,彻底的姿态
200200302,cardName,【手作りの心遣い】風野灯織,【手制的心意】风野灯织
200200302,eventTitle,バランスに気を付けて,注意平衡
200200311,cardName,【手作りの心遣い】風野灯織,【手制的心意】风野灯织
200200311,eventTitle,逆転する立場,逆转的立场
200200401,cardName,【柔らかな微笑み】風野灯織,【柔和的微笑】风野灯织
200200401,eventTitle,君のことを教えてほしい,想了解你的事
200200402,cardName,【柔らかな微笑み】風野灯織,【柔和的微笑】风野灯织
200200402,eventTitle,支えていきたい,想要支持你
200200403,cardName,【柔らかな微笑み】風野灯織,【柔和的微笑】风野灯织
200200403,eventTitle,幸福に満ちる,充满幸福
200200404,cardName,【柔らかな微笑み】風野灯織,【柔和的微笑】风野灯织
200200404,eventTitle,かつて夢見た眩しい姿,曾经梦见的耀眼身姿
200200411,cardName,【柔らかな微笑み】風野灯織,【柔和的微笑】风野灯织
200200411,eventTitle,歩む先には理想の自分,前行前方是理想的自己
200200501,cardName,【淡雪の戯れ】風野灯織,【淡雪的嬉戏】风野灯织
200200501,eventTitle,備えあれば……？,有备则……？
200200502,cardName,【淡雪の戯れ】風野灯織,【淡雪的嬉戏】风野灯织
200200502,eventTitle,『楽しむ』ということ,所谓“享受”
200200503,cardName,【淡雪の戯れ】風野灯織,【淡雪的嬉戏】风野灯织
200200503,eventTitle,ご褒美はリポートの後で,奖励在报告之后
200200504,cardName,【淡雪の戯れ】風野灯織,【淡雪的嬉戏】风野灯织
200200504,eventTitle,無邪気な結晶,无邪的结晶
200200511,cardName,【淡雪の戯れ】風野灯織,【淡雪的嬉戏】风野灯织
200200511,eventTitle,心のアルバムの隣に,在心之相册的旁边
200200601,cardName,【マフラー直して、心は解けて】風野灯織,【修好围巾、心结解开】风野灯织
200200601,eventTitle,足下にご用心,请注意脚下
200200602,cardName,【マフラー直して、心は解けて】風野灯織,【修好围巾、心结解开】风野灯织
200200602,eventTitle,暖かさと……心の距離と……,温暖与……心的距离与……
200200611,cardName,【マフラー直して、心は解けて】風野灯織,【修好围巾、心结解开】风野灯织
200200611,eventTitle,思い描くのは……？,所描绘的是……？
200200701,cardName,【伸ばす手に乗せるのは】風野灯織,【放在伸出的手上的是】风野灯织
200200701,eventTitle,言ってみたい、でも……,想说出口、但是……
200200702,cardName,【伸ばす手に乗せるのは】風野灯織,【放在伸出的手上的是】风野灯织
200200702,eventTitle,止めておけばよかったのに,要是当时停下来就好了
200200703,cardName,【伸ばす手に乗せるのは】風野灯織,【放在伸出的手上的是】风野灯织
200200703,eventTitle,秘密ってむずかしい,秘密真难啊
200200704,cardName,【伸ばす手に乗せるのは】風野灯織,【放在伸出的手上的是】风野灯织
200200704,eventTitle,嘘に乗せた、本当の,承载于谎言上的、真实的
200200711,cardName,【伸ばす手に乗せるのは】風野灯織,【放在伸出的手上的是】风野灯织
200200711,eventTitle,進んで振り向く道の先,主动回头的道路前方
200200801,cardName,【落下予測地点】風野灯織,【坠落预测地点】风野灯织
200200801,eventTitle,見えていますか,能看见吗
200200802,cardName,【落下予測地点】風野灯織,【坠落预测地点】风野灯织
200200802,eventTitle,落　ち　　　る,坠　　落
200200811,cardName,【落下予測地点】風野灯織,【坠落预测地点】风野灯织
200200811,eventTitle,そして標となる,然后成为目标
200200901,cardName,【清閑に息をひそめて】風野灯織,【在清闲中屏息】风野灯织
200200901,eventTitle,ひとり,一人
200200902,cardName,【清閑に息をひそめて】風野灯織,【在清闲中屏息】风野灯织
200200902,eventTitle,せんり,千里
200200903,cardName,【清閑に息をひそめて】風野灯織,【在清闲中屏息】风野灯织
200200903,eventTitle,ひおり,灯织
200200904,cardName,【清閑に息をひそめて】風野灯織,【在清闲中屏息】风野灯织
200200904,eventTitle,あかり,灯里
200200911,cardName,【清閑に息をひそめて】風野灯織,【在清闲中屏息】风野灯织
200200911,eventTitle,ふたり,两人
200201001,cardName,【インビジブルタイム】風野灯織,【Invisible Time】风野灯织
200201001,eventTitle,どちらでもない,哪个都不是
200201011,cardName,【インビジブルタイム】風野灯織,【Invisible Time】风野灯织
200201011,eventTitle,どちらも、,两者都、
200201101,cardName,【黒百合前で待ち合わせ】風野灯織,【在黑百合前会合】风野灯织
200201101,eventTitle,わかるということ,所谓理解
200201102,cardName,【黒百合前で待ち合わせ】風野灯織,【在黑百合前会合】风野灯织
200201102,eventTitle,ずれについて,关于偏差
200201103,cardName,【黒百合前で待ち合わせ】風野灯織,【在黑百合前会合】风野灯织
200201103,eventTitle,今ここが分岐点,现在此处是分歧点
200201104,cardName,【黒百合前で待ち合わせ】風野灯織,【在黑百合前会合】风野灯织
200201104,eventTitle,修正・訂正,修正·订正
200201111,cardName,【黒百合前で待ち合わせ】風野灯織,【在黑百合前会合】风野灯织
200201111,eventTitle,あんなふうになりたくないから,因为不想变成那样
200201201,cardName,【涼】風野灯織,【凉】风野灯织
200201201,eventTitle,お米10kgぶんの、,相当于10公斤大米的、
200201202,cardName,【涼】風野灯織,【凉】风野灯织
200201202,eventTitle,たまにはこんな日があったって、,偶尔有这样的日子也好、
200201203,cardName,【涼】風野灯織,【凉】风野灯织
200201203,eventTitle,その手はいつも、,那双手总是、
200201204,cardName,【涼】風野灯織,【凉】风野灯织
200201204,eventTitle,楽しさから学べたら、,如果能从快乐中学到东西、
200201211,cardName,【涼】風野灯織,【凉】风野灯织
200201211,eventTitle,一夏一過,一夏一过
200201301,cardName,【洸】風野灯織,【洸】风野灯织
200201301,eventTitle,波紋,波纹
200201302,cardName,【洸】風野灯織,【洸】风野灯织
200201302,eventTitle,無意識（遊び）,无意识（玩耍）
200201303,cardName,【洸】風野灯織,【洸】风野灯织
200201303,eventTitle,無意識（仕事）,无意识（工作）
200201304,cardName,【洸】風野灯織,【洸】风野灯织
200201304,eventTitle,無意識（料理）,无意识（料理）
200201311,cardName,【洸】風野灯織,【洸】风野灯织
200201311,eventTitle,自覚、それから,自觉、然后
200201401,cardName,【足りない隙間】風野灯織,【不足的缝隙】风野灯织
200201401,eventTitle,行き先がわからずとも,即使不知去向
200201402,cardName,【足りない隙間】風野灯織,【不足的缝隙】风野灯织
200201402,eventTitle,美味しくて、綺麗で、少し痛い,美味、漂亮、又有点痛
200201411,cardName,【足りない隙間】風野灯織,【不足的缝隙】风野灯织
200201411,eventTitle,楽しさを詰め込んで,塞满快乐
200201501,cardName,【ひとりじゃない夜のこと】風野灯織,【并非独自一人的夜晚】风野灯织
200201501,eventTitle,今、この時間は、はたして,现在、这段时间、究竟
200201502,cardName,【ひとりじゃない夜のこと】風野灯織,【并非独自一人的夜晚】风野灯织
200201502,eventTitle,思い込みによる影響について,关于先入为主的影响
200201503,cardName,【ひとりじゃない夜のこと】風野灯織,【并非独自一人的夜晚】风野灯织
200201503,eventTitle,（頼らずとも）冬の夜は長いので,（即使不依赖）冬夜漫长
200201504,cardName,【ひとりじゃない夜のこと】風野灯織,【并非独自一人的夜晚】风野灯织
200201504,eventTitle,だんだん『私』になっていく,渐渐变成“我”
200201511,cardName,【ひとりじゃない夜のこと】風野灯織,【并非独自一人的夜晚】风野灯织
200201511,eventTitle,日々が明日の彼女を作っている,每一天都在塑造明天的她
200201601,cardName,【耿耿】風野灯織,【耿耿】风野灯织
200201601,eventTitle,遠くから、,从远方、
200201602,cardName,【耿耿】風野灯織,【耿耿】风野灯织
200201602,eventTitle,遠く（と思っていただけで）、,远方（只是以为）、
200201611,cardName,【耿耿】風野灯織,【耿耿】风野灯织
200201611,eventTitle,近くから、,从近处、
200201701,cardName,【エバー・リメンバー・ネバー】風野灯織,【Ever·Remember·Never】风野灯织
200201701,eventTitle,いつもそこにある,总在那里
200201702,cardName,【エバー・リメンバー・ネバー】風野灯織,【Ever·Remember·Never】风野灯织
200201702,eventTitle,手が届く　目が届く,手能触及　目能触及
200201703,cardName,【エバー・リメンバー・ネバー】風野灯織,【Ever·Remember·Never】风野灯织
200201703,eventTitle,はるかかなた,遥远彼方
200201704,cardName,【エバー・リメンバー・ネバー】風野灯織,【Ever·Remember·Never】风野灯织
200201704,eventTitle,忘れていた（わけではなく）,并非忘记
200201711,cardName,【エバー・リメンバー・ネバー】風野灯織,【Ever·Remember·Never】风野灯织
200201711,eventTitle,大事なこと　ぜんぶ,重要的事情　全部
200201801,cardName,【ベター・ザン・ベスト】風野灯織,【Better·Than·Best】风野灯织
200201801,eventTitle,Worrying,担忧
200201802,cardName,【ベター・ザン・ベスト】風野灯織,【Better·Than·Best】风野灯织
200201802,eventTitle,Shocking,震惊
200201803,cardName,【ベター・ザン・ベスト】風野灯織,【Better·Than·Best】风野灯织
200201803,eventTitle,Shooting,射击
200201804,cardName,【ベター・ザン・ベスト】風野灯織,【Better·Than·Best】风野灯织
200201804,eventTitle,Fascinating,迷人
200201811,cardName,【ベター・ザン・ベスト】風野灯織,【Better·Than·Best】风野灯织
200201811,eventTitle,Growing,成长
200201901,cardName,【The thing is】風野灯織,待翻译
200201901,eventTitle,at a turning point,待翻译
200201902,cardName,【The thing is】風野灯織,待翻译
200201902,eventTitle,My goal is……,待翻译
200201911,cardName,【The thing is】風野灯織,待翻译
200201911,eventTitle,It's up to you,待翻译
200202001,cardName,【キミと今旅立つ】風野灯織,待翻译
200202001,eventTitle,涙色,待翻译
200202002,cardName,【キミと今旅立つ】風野灯織,待翻译
200202002,eventTitle,紅碧色,待翻译
200202003,cardName,【キミと今旅立つ】風野灯織,待翻译
200202003,eventTitle,瞑色,待翻译
200202004,cardName,【キミと今旅立つ】風野灯織,待翻译
200202004,eventTitle,曙色,待翻译
200202011,cardName,【キミと今旅立つ】風野灯織,待翻译
200202011,eventTitle,桜色,待翻译
200300301,cardName,【キネマ・リリックで夢見て】八宮めぐる,【在电影·抒情诗中梦想】八宫巡
200300301,eventTitle,リミットは日が沈むまで,限制到日落为止
200300311,cardName,【キネマ・リリックで夢見て】八宮めぐる,【在电影·抒情诗中梦想】八宫巡
200300311,eventTitle,唇に、透明な歌,唇上、透明的歌
200300401,cardName,【金色の元気いっぱいガール】八宮めぐる,【金色元气满满女孩】八宫巡
200300401,eventTitle,めぐる、大活躍！,巡、大活跃！
200300402,cardName,【金色の元気いっぱいガール】八宮めぐる,【金色元气满满女孩】八宫巡
200300402,eventTitle,止まらない着信音,不停的来电铃声
200300403,cardName,【金色の元気いっぱいガール】八宮めぐる,【金色元气满满女孩】八宫巡
200300403,eventTitle,仲直りの仕方,和好的方法
200300404,cardName,【金色の元気いっぱいガール】八宮めぐる,【金色元气满满女孩】八宫巡
200300404,eventTitle,本当の自分と特別な人,真实的自己与特别的人
200300411,cardName,【金色の元気いっぱいガール】八宮めぐる,【金色元气满满女孩】八宫巡
200300411,eventTitle,きみのための翼,为你而生的翅膀
200300501,cardName,【夏に恋するピチカート！】八宮めぐる,【恋上夏日的拨奏！】八宫巡
200300501,eventTitle,カラフルサマー,色彩缤纷的夏天
200300502,cardName,【夏に恋するピチカート！】八宮めぐる,【恋上夏日的拨奏！】八宫巡
200300502,eventTitle,太陽のしずく,太阳的水滴
200300503,cardName,【夏に恋するピチカート！】八宮めぐる,【恋上夏日的拨奏！】八宫巡
200300503,eventTitle,それはまだ純白な,那仍是纯白的
200300504,cardName,【夏に恋するピチカート！】八宮めぐる,【恋上夏日的拨奏！】八宫巡
200300504,eventTitle,淹れたてコーヒー,刚泡好的咖啡
200300511,cardName,【夏に恋するピチカート！】八宮めぐる,【恋上夏日的拨奏！】八宫巡
200300511,eventTitle,なんでもない日の星空,平凡之日的星空
200300601,cardName,【チエルアルコは流星の】八宮めぐる,【Ciel Alco是流星的】八宫巡
200300601,eventTitle,異邦の青、浮遊する,异邦之蓝、漂浮
200300602,cardName,【チエルアルコは流星の】八宮めぐる,【Ciel Alco是流星的】八宫巡
200300602,eventTitle,同調の水、されど,同调之水、然而
200300611,cardName,【チエルアルコは流星の】八宮めぐる,【Ciel Alco是流星的】八宫巡
200300611,eventTitle,無重力のウテナ,无重力的乌蒂娜
200300701,cardName,【小さな夜のトロイメライ】八宮めぐる,【小小夜的幻梦】八宫巡
200300701,eventTitle,ON:消失のクライシス,ON：消失的危机
200300702,cardName,【小さな夜のトロイメライ】八宮めぐる,【小小夜的幻梦】八宫巡
200300702,eventTitle,OFF:その甘さは時をかける,OFF：那份甜蜜跨越时间
200300711,cardName,【小さな夜のトロイメライ】八宮めぐる,【小小夜的幻梦】八宫巡
200300711,eventTitle,YOU:おやすみと星が瞬くように,YOU：如晚安与星星闪烁般
200300801,cardName,【シュカのまにまに】八宮めぐる,【随心所欲】八宫巡
200300801,eventTitle,光が落ちてくる,光芒洒落
200300802,cardName,【シュカのまにまに】八宮めぐる,【随心所欲】八宫巡
200300802,eventTitle,夏の音が聴こえる,听见夏天的声音
200300803,cardName,【シュカのまにまに】八宮めぐる,【随心所欲】八宫巡
200300803,eventTitle,ワレワレは暑さに弱い,我们很怕热
200300804,cardName,【シュカのまにまに】八宮めぐる,【随心所欲】八宫巡
200300804,eventTitle,シェア＆ハッピー！,分享与快乐！
200300811,cardName,【シュカのまにまに】八宮めぐる,【随心所欲】八宫巡
200300811,eventTitle,なんでもない日の夏空,平凡之日的夏日天空
200300901,cardName,【日々を紡ぐインヴェルノ】八宮めぐる,【编织每日的炼狱】八宫巡
200300901,eventTitle,大海原を越える,跨越大海原
200300902,cardName,【日々を紡ぐインヴェルノ】八宮めぐる,【编织每日的炼狱】八宫巡
200300902,eventTitle,蒼穹に憧れて,向往苍穹
200300903,cardName,【日々を紡ぐインヴェルノ】八宮めぐる,【编织每日的炼狱】八宫巡
200300903,eventTitle,電波の海を泳ぐ,在电波的海洋中游泳
200300904,cardName,【日々を紡ぐインヴェルノ】八宮めぐる,【编织每日的炼狱】八宫巡
200300904,eventTitle,透明越しに,透过透明
200300911,cardName,【日々を紡ぐインヴェルノ】八宮めぐる,【编织每日的炼狱】八宫巡
200300911,eventTitle,想イ　歌う　エストレーラ,思念　歌唱　Estrela
200301001,cardName,【ハロー・ワールド】八宮めぐる,【Hello·World】八宫巡
200301001,eventTitle,永久を望むの？,渴望永恒吗？
200301011,cardName,【ハロー・ワールド】八宮めぐる,【Hello·World】八宫巡
200301011,eventTitle,いつかの未来へ,向着某日的未来
200301101,cardName,【アイの誓い】八宮めぐる,【爱的誓言】八宫巡
200301101,eventTitle,OLD,旧的
200301102,cardName,【アイの誓い】八宮めぐる,【爱的誓言】八宫巡
200301102,eventTitle,NEW,新的
200301103,cardName,【アイの誓い】八宮めぐる,【爱的誓言】八宫巡
200301103,eventTitle,BORROWED,借来的
200301104,cardName,【アイの誓い】八宮めぐる,【爱的誓言】八宫巡
200301104,eventTitle,BLUE,蓝色的
200301111,cardName,【アイの誓い】八宮めぐる,【爱的誓言】八宫巡
200301111,eventTitle,a sixpence in her shoe.,她鞋中的六便士。
200301201,cardName,【たまゆらフレーミング】八宮めぐる,【瞬间Framing】八宫巡
200301201,eventTitle,07:00 共有したくなっちゃう,07:00 好想分享
200301202,cardName,【たまゆらフレーミング】八宮めぐる,【瞬间Framing】八宫巡
200301202,eventTitle,13:00 そのふもとをつかまえて,13:00 抓住那个山脚
200301203,cardName,【たまゆらフレーミング】八宮めぐる,【瞬间Framing】八宫巡
200301203,eventTitle,16:00 いつもの,16:00 一如往常
200301204,cardName,【たまゆらフレーミング】八宮めぐる,【瞬间Framing】八宫巡
200301204,eventTitle,20:00 なんだっていいんだ,20:00 怎样都好
200301211,cardName,【たまゆらフレーミング】八宮めぐる,【瞬间Framing】八宫巡
200301211,eventTitle,11:00 普段とはちょっとだけ,11:00 与平时稍有不同
200301301,cardName,【きゅん♡コメ】八宮めぐる,【心动♡喜剧】八宫巡
200301301,eventTitle,メイドです、お嬢様,是女仆、大小姐
200301302,cardName,【きゅん♡コメ】八宮めぐる,【心动♡喜剧】八宫巡
200301302,eventTitle,ご帰宅です、お嬢様,您回来了、大小姐
200301303,cardName,【きゅん♡コメ】八宮めぐる,【心动♡喜剧】八宫巡
200301303,eventTitle,お給仕です、お嬢様,为您服务、大小姐
200301304,cardName,【きゅん♡コメ】八宮めぐる,【心动♡喜剧】八宫巡
200301304,eventTitle,♡をこめておまじない,倾注♡的咒语
200301311,cardName,【きゅん♡コメ】八宮めぐる,【心动♡喜剧】八宫巡
200301311,eventTitle,お出かけです、お嬢様,要出门了、大小姐
200301401,cardName,【たそかれスワッグ】八宮めぐる,【黄昏花束】八宫巡
200301401,eventTitle,偶然も必然も全部縁,偶然也好必然也好全是缘分
200301402,cardName,【たそかれスワッグ】八宮めぐる,【黄昏花束】八宫巡
200301402,eventTitle,蜘蛛の糸ほど細くても,即使细如蛛丝
200301403,cardName,【たそかれスワッグ】八宮めぐる,【黄昏花束】八宫巡
200301403,eventTitle,つなぐ,相连
200301404,cardName,【たそかれスワッグ】八宮めぐる,【黄昏花束】八宫巡
200301404,eventTitle,その強さについての考察,关于那份强度的考察
200301411,cardName,【たそかれスワッグ】八宮めぐる,【黄昏花束】八宫巡
200301411,eventTitle,めぐりめぐる,循环往复
200301501,cardName,【セツナ/n】八宮めぐる,【刹那/n】八宫巡
200301501,eventTitle,寒い日/冬,寒冷的日子/冬天
200301502,cardName,【セツナ/n】八宮めぐる,【刹那/n】八宫巡
200301502,eventTitle,雪の日/冬,下雪的日子/冬天
200301511,cardName,【セツナ/n】八宮めぐる,【刹那/n】八宫巡
200301511,eventTitle,今日/n日,今天/第n天
200301601,cardName,【ずっと・グッド・ラック】八宮めぐる,【永远·Good·Luck】八宫巡
200301601,eventTitle,誰のための　誰のために,为了谁　为了何人
